Date,Open,High,Low,Close,Adj Close,Volume
2009-08-06,10808.700195,10849.900391,10730.200195,10776.000000,10775.989258,196000
2009-08-07,10738.700195,10984.000000,10713.200195,10947.599609,10947.588867,185400
2009-08-10,10934.200195,10934.200195,10848.200195,10923.000000,10922.989258,108000
2009-08-11,10947.900391,11011.299805,10786.000000,10831.900391,10831.889648,142200
2009-08-12,10808.200195,10955.900391,10737.700195,10933.799805,10933.789063,143200
2009-08-13,10942.500000,11144.099609,10925.799805,11046.799805,11046.789063,175200
2009-08-14,11055.500000,11120.700195,10852.799805,10901.900391,10901.889648,137800
2009-08-17,10857.400391,10857.400391,10537.900391,10598.500000,10598.489258,183000
2009-08-18,10626.500000,10708.299805,10599.200195,10708.299805,10708.289063,110200
2009-08-19,10616.900391,10749.200195,10511.900391,10695.500000,10695.489258,127200
2009-08-20,10804.799805,10918.000000,10795.099609,10892.500000,10892.489258,123600
2009-08-21,10880.099609,11193.900391,10847.700195,11161.000000,11160.988281,205800
2009-08-24,11239.799805,11349.200195,11189.700195,11303.799805,11303.788086,162000
2009-08-25,11255.400391,11433.200195,11219.500000,11427.799805,11427.788086,183600
2009-08-26,11400.700195,11446.099609,11319.000000,11376.400391,11376.388672,164400
2009-08-27,11342.700195,11422.700195,11293.799805,11356.900391,11356.888672,147200
2009-08-28,11419.400391,11522.799805,11395.799805,11442.700195,11442.688477,160000
2009-08-31,11359.799805,11481.400391,11342.900391,11365.099609,11365.087891,132400
2009-09-01,11434.000000,11443.000000,11167.599609,11173.000000,11172.988281,178400
2009-09-02,11126.599609,11138.799805,10874.400391,10999.700195,10999.689453,220600
2009-09-03,11022.700195,11109.200195,10969.400391,11018.099609,11018.088867,176000
2009-09-04,11088.200195,11222.700195,11064.700195,11222.700195,11222.688477,194000
2009-09-07,11328.200195,11416.500000,11319.700195,11388.599609,11388.587891,133600
2009-09-08,11425.400391,11463.700195,11319.900391,11366.599609,11366.587891,193600
2009-09-09,11325.000000,11469.900391,11319.299805,11462.000000,11461.988281,166200
2009-09-10,11514.099609,11516.700195,11260.000000,11340.799805,11340.788086,218400
2009-09-11,11388.400391,11531.400391,11387.400391,11452.599609,11452.587891,170200
2009-09-14,11343.500000,11517.099609,11283.000000,11492.599609,11492.587891,182400
2009-09-15,11520.700195,11631.799805,11481.000000,11593.299805,11593.288086,165400
2009-09-16,11657.500000,11800.000000,11648.799805,11746.900391,11746.888672,205800
2009-09-17,11836.799805,11836.799805,11687.299805,11771.000000,11770.988281,211000
2009-09-18,11728.599609,11837.700195,11718.200195,11777.299805,11777.288086,280800
2009-09-21,11772.299805,11774.000000,11623.000000,11727.400391,11727.388672,165200
2009-09-22,11784.200195,11899.299805,11771.599609,11816.700195,11816.688477,182600
2009-09-23,11813.099609,11879.599609,11801.099609,11853.299805,11853.288086,155000
2009-09-24,11808.000000,11900.900391,11640.799805,11695.900391,11695.888672,216400
2009-09-25,11692.799805,11712.500000,11561.000000,11643.799805,11643.788086,156600
2009-09-28,11622.000000,11891.200195,11541.200195,11891.200195,11891.188477,183200
2009-09-29,11933.500000,11938.200195,11801.700195,11853.700195,11853.688477,174200
2009-09-30,11870.000000,11929.500000,11628.900391,11756.099609,11756.087891,225400
2009-10-01,11766.599609,11851.099609,11511.400391,11518.200195,11518.188477,216400
2009-10-02,11385.400391,11427.799805,11268.500000,11326.700195,11326.688477,264400
2009-10-05,11322.200195,11579.000000,11271.000000,11557.000000,11556.988281,257200
2009-10-06,11594.700195,11836.000000,11591.799805,11817.099609,11817.087891,279400
2009-10-07,11821.900391,11854.299805,11671.299805,11721.400391,11721.388672,207800
2009-10-08,11857.799805,11905.700195,11753.099609,11814.299805,11814.288086,223000
2009-10-09,11809.000000,11907.500000,11691.799805,11743.200195,11743.188477,213800
2009-10-12,11760.700195,11870.299805,11734.099609,11748.799805,11748.788086,138400
2009-10-13,11717.000000,11735.700195,11542.099609,11608.299805,11608.288086,190400
2009-10-14,11714.200195,11881.700195,11713.099609,11870.900391,11870.888672,264000
2009-10-15,11900.299805,11942.799805,11792.799805,11849.700195,11849.688477,241400
2009-10-16,11889.400391,11952.900391,11611.500000,11676.400391,11676.388672,311200
2009-10-19,11747.700195,11907.000000,11730.500000,11885.299805,11885.288086,206000
2009-10-20,11945.700195,11951.799805,11782.599609,11790.200195,11790.188477,180800
2009-10-21,11786.599609,11911.400391,11644.900391,11875.200195,11875.188477,204800
2009-10-22,11713.000000,11855.500000,11686.299805,11828.599609,11828.587891,198400
2009-10-23,11911.000000,11960.400391,11733.400391,11739.799805,11739.788086,214800
2009-10-26,11796.799805,11833.200195,11583.799805,11622.599609,11622.587891,195800
2009-10-27,11590.400391,11679.299805,11546.400391,11634.000000,11633.988281,193600
2009-10-28,11588.000000,11600.000000,11378.799805,11429.799805,11429.788086,235200
2009-10-29,11398.700195,11690.400391,11357.700195,11683.400391,11683.388672,232200
2009-10-30,11689.000000,11761.099609,11366.200195,11414.799805,11414.788086,214000
2009-11-02,11354.000000,11514.799805,11344.299805,11465.799805,11465.788086,156200
2009-11-03,11328.500000,11358.400391,11179.900391,11242.400391,11242.388672,215400
2009-11-04,11308.700195,11398.799805,11286.000000,11387.700195,11387.688477,166800
2009-11-05,11313.900391,11621.099609,11249.599609,11548.900391,11548.888672,180000
2009-11-06,11518.000000,11627.700195,11391.599609,11580.599609,11580.587891,188600
2009-11-09,11654.700195,11816.799805,11653.799805,11816.799805,11816.788086,141000
2009-11-10,11807.400391,11891.900391,11777.799805,11814.000000,11813.988281,182200
2009-11-11,11822.900391,11893.599609,11784.900391,11801.400391,11801.388672,187200
2009-11-12,11790.200195,11916.400391,11757.400391,11834.500000,11834.488281,209800
2009-11-13,11835.299805,11868.599609,11754.099609,11867.000000,11866.988281,203200
2009-11-16,11943.000000,12007.099609,11910.099609,11986.900391,11986.888672,188800
2009-11-17,11964.900391,12016.099609,11928.599609,11959.400391,11959.388672,175400
2009-11-18,12004.000000,12102.599609,11999.299805,12034.400391,12034.388672,174200
2009-11-19,12028.400391,12029.700195,11817.000000,11846.200195,11846.188477,176200
2009-11-20,11888.900391,11942.200195,11702.200195,11719.299805,11719.288086,203600
2009-11-23,11845.900391,11975.900391,11832.900391,11940.500000,11940.488281,131800
2009-11-24,11832.799805,11973.000000,11808.000000,11905.200195,11905.188477,142800
2009-11-25,12004.099609,12021.500000,11900.599609,11965.799805,11965.788086,131600
2009-11-26,11894.200195,11904.500000,11639.200195,11657.500000,11657.488281,180200
2009-11-27,11431.400391,11829.200195,11415.799805,11776.799805,11776.788086,205600
2009-11-30,11839.400391,11874.599609,11603.599609,11644.700195,11644.688477,169800
2009-12-01,11746.200195,11878.200195,11735.900391,11862.099609,11862.087891,185800
2009-12-02,11856.700195,11930.500000,11788.200195,11868.799805,11868.788086,163000
2009-12-03,11969.000000,11998.299805,11881.299805,11905.299805,11905.288086,161000
